Restaurant
Johnny Rockets
Loz Takos
A&W
River Sushi
Sushi Dragon
A.BENTO
Pacific Poke
Pokerrito
Heritage
Lotus Seed
Meat and Bread
Marulilu Cafe
Pizzamia
Donair Spot
Donair Pro
Mr. Japanese Curry
Uma Sushi
Pepper Lunch
Sushi Bang
Cambie Pizza
Peaceful Restaurant
Yolks
iCafe
Hokkaido Ramen Santouka
Martini's
Sushi California
La Taqueria
Menyo Raizo
Subway
Uncle Fatih's
Pho Extreme Xe Lua
McDonald's
Benkei
Saku
Cactus Club
Rogue Kitchen and Wetbar
Tractor Foods
Ebisu
Chipotle
Wendy's
